Vehicle,Route
0,Depot(0) -> Client(23) -> Client(30) -> Client(47) -> Client(64) -> Client(71) -> Shelter(1) -> Client(133) -> Client(136) -> Client(137) -> Shelter(2) -> Client(157) -> Client(168) -> Shelter(3) -> Client(201) -> Shelter(5) -> Client(117) -> Client(228) -> Shelter(6) -> Client(96) -> Client(101) -> Shelter(8) -> Client(145) -> Client(196) -> Client(197) -> Shelter(9) -> Client(229) -> Shelter(10) -> Client(310) -> Client(319) -> Shelter(12) -> Client(204) -> Client(208) -> Shelter(17) -> Client(233) -> Shelter(19) -> Client(25) -> Shelter(20) -> Client(286) -> Shelter(21) -> Client(75) -> Shelter(22) -> Depot(0)
1,Depot(0) -> Client(55) -> Client(181) -> Shelter(1) -> Client(118) -> Client(125) -> Client(135) -> Shelter(2) -> Client(142) -> Client(153) -> Client(155) -> Client(158) -> Client(161) -> Client(166) -> Shelter(3) -> Client(190) -> Shelter(4) -> Client(217) -> Shelter(5) -> Client(222) -> Shelter(6) -> Client(263) -> Shelter(7) -> Client(113) -> Client(120) -> Shelter(8) -> Client(213) -> Shelter(10) -> Client(248) -> Client(250) -> Client(253) -> Shelter(11) -> Client(307) -> Client(311) -> Client(317) -> Shelter(12) -> Client(170) -> Shelter(16) -> Client(205) -> Shelter(17) -> Client(44) -> Shelter(20) -> Client(87) -> Shelter(22) -> Depot(0)
2,Depot(0) -> Client(26) -> Client(28) -> Client(32) -> Client(36) -> Client(66) -> Client(177) -> Shelter(1) -> Client(126) -> Client(132) -> Shelter(2) -> Client(148) -> Client(151) -> Client(156) -> Client(165) -> Shelter(3) -> Client(189) -> Shelter(4) -> Client(84) -> Client(95) -> Shelter(8) -> Client(216) -> Shelter(10) -> Client(313) -> Client(320) -> Shelter(12) -> Client(81) -> Shelter(13) -> Client(61) -> Client(74) -> Client(92) -> Shelter(14) -> Client(173) -> Shelter(16) -> Client(202) -> Client(210) -> Shelter(17) -> Client(257) -> Client(270) -> Shelter(18) -> Client(237) -> Shelter(19) -> Client(35) -> Shelter(20) -> Client(284) -> Shelter(21) -> Client(109) -> Shelter(22) -> Depot(0)
3,Depot(0) -> Client(58) -> Shelter(1) -> Client(130) -> Client(134) -> Shelter(2) -> Client(143) -> Client(146) -> Client(160) -> Client(167) -> Shelter(3) -> Client(193) -> Shelter(4) -> Client(214) -> Shelter(5) -> Client(220) -> Shelter(6) -> Client(100) -> Shelter(8) -> Client(212) -> Shelter(10) -> Client(297) -> Client(298) -> Client(323) -> Shelter(12) -> Client(169) -> Shelter(16) -> Client(258) -> Client(259) -> Client(264) -> Client(273) -> Client(274) -> Shelter(18) -> Client(234) -> Client(238) -> Shelter(19) -> Client(51) -> Shelter(20) -> Client(293) -> Client(294) -> Client(295) -> Shelter(21) -> Client(90) -> Shelter(22) -> Depot(0)
4,Depot(0) -> Client(34) -> Client(174) -> Shelter(1) -> Client(198) -> Shelter(4) -> Client(218) -> Shelter(6) -> Client(283) -> Shelter(7) -> Client(88) -> Client(98) -> Shelter(8) -> Client(230) -> Shelter(10) -> Client(249) -> Shelter(11) -> Client(299) -> Client(308) -> Client(312) -> Client(315) -> Client(316) -> Client(318) -> Client(321) -> Shelter(12) -> Client(60) -> Client(63) -> Shelter(13) -> Client(57) -> Shelter(14) -> Client(41) -> Shelter(15) -> Client(199) -> Client(203) -> Shelter(17) -> Client(255) -> Client(261) -> Shelter(18) -> Client(236) -> Client(240) -> Client(241) -> Client(251) -> Shelter(19) -> Client(287) -> Client(301) -> Shelter(21) -> Depot(0)
5,Depot(0) -> Client(27) -> Client(33) -> Shelter(1) -> Client(129) -> Shelter(2) -> Client(147) -> Client(149) -> Client(162) -> Client(182) -> Shelter(3) -> Client(184) -> Client(192) -> Shelter(4) -> Client(99) -> Client(102) -> Client(223) -> Shelter(6) -> Client(285) -> Shelter(7) -> Client(105) -> Client(107) -> Shelter(8) -> Client(152) -> Shelter(9) -> Client(254) -> Shelter(11) -> Client(300) -> Client(302) -> Client(306) -> Client(322) -> Shelter(12) -> Client(77) -> Client(108) -> Shelter(13) -> Client(54) -> Shelter(14) -> Client(39) -> Shelter(15) -> Client(171) -> Client(179) -> Shelter(16) -> Client(262) -> Shelter(18) -> Client(242) -> Shelter(19) -> Client(275) -> Client(276) -> Client(305) -> Shelter(21) -> Client(94) -> Shelter(22) -> Depot(0)
6,Depot(0) -> Client(31) -> Client(45) -> Client(46) -> Client(176) -> Shelter(1) -> Client(112) -> Client(116) -> Shelter(2) -> Client(150) -> Client(159) -> Shelter(3) -> Client(221) -> Client(224) -> Shelter(6) -> Client(185) -> Client(194) -> Shelter(9) -> Client(245) -> Client(246) -> Shelter(11) -> Client(69) -> Shelter(13) -> Client(59) -> Shelter(14) -> Client(180) -> Shelter(16) -> Client(200) -> Client(211) -> Client(225) -> Shelter(17) -> Client(235) -> Shelter(19) -> Client(24) -> Client(52) -> Client(175) -> Shelter(20) -> Client(292) -> Client(296) -> Shelter(21) -> Depot(0)
7,Depot(0) -> Client(56) -> Shelter(1) -> Client(124) -> Client(138) -> Client(140) -> Shelter(2) -> Client(191) -> Client(195) -> Shelter(4) -> Client(267) -> Client(271) -> Shelter(7) -> Client(85) -> Client(93) -> Client(111) -> Shelter(8) -> Client(244) -> Shelter(11) -> Client(303) -> Client(304) -> Client(309) -> Shelter(12) -> Client(65) -> Client(68) -> Client(70) -> Shelter(13) -> Client(76) -> Client(86) -> Shelter(14) -> Client(48) -> Shelter(15) -> Client(172) -> Shelter(16) -> Client(207) -> Shelter(17) -> Client(260) -> Shelter(18) -> Client(243) -> Shelter(19) -> Client(43) -> Shelter(20) -> Client(280) -> Shelter(21) -> Client(72) -> Client(103) -> Client(121) -> Shelter(22) -> Depot(0)
8,Depot(0) -> Client(40) -> Shelter(1) -> Client(122) -> Client(123) -> Client(131) -> Client(139) -> Shelter(2) -> Client(144) -> Client(178) -> Shelter(3) -> Client(183) -> Client(186) -> Client(188) -> Shelter(4) -> Client(209) -> Shelter(5) -> Client(219) -> Client(226) -> Shelter(6) -> Client(266) -> Client(269) -> Shelter(7) -> Client(91) -> Client(115) -> Shelter(8) -> Client(227) -> Shelter(10) -> Client(314) -> Shelter(12) -> Client(79) -> Shelter(13) -> Client(82) -> Shelter(14) -> Client(67) -> Shelter(15) -> Client(279) -> Client(281) -> Client(282) -> Client(291) -> Shelter(21) -> Client(106) -> Client(119) -> Shelter(22) -> Depot(0)
9,Depot(0) -> Client(42) -> Shelter(1) -> Client(127) -> Client(128) -> Shelter(2) -> Client(163) -> Shelter(3) -> Client(187) -> Shelter(4) -> Client(215) -> Shelter(5) -> Client(265) -> Client(277) -> Client(288) -> Shelter(7) -> Client(89) -> Client(104) -> Client(110) -> Client(114) -> Shelter(8) -> Client(154) -> Shelter(9) -> Client(231) -> Shelter(10) -> Client(247) -> Client(252) -> Client(256) -> Shelter(11) -> Client(73) -> Client(78) -> Shelter(13) -> Client(83) -> Shelter(14) -> Client(38) -> Shelter(15) -> Client(164) -> Shelter(16) -> Client(206) -> Shelter(17) -> Client(272) -> Shelter(18) -> Client(232) -> Client(239) -> Shelter(19) -> Client(37) -> Client(49) -> Client(50) -> Shelter(20) -> Client(278) -> Client(289) -> Client(290) -> Shelter(21) -> Client(62) -> Client(80) -> Client(97) -> Shelter(22) -> Depot(0)
