Vehicle,Route
0,Depot(0) -> Client(45) -> Client(46) -> Client(71) -> Shelter(1) -> Client(139) -> Client(140) -> Shelter(2) -> Client(159) -> Client(167) -> Shelter(3) -> Client(201) -> Shelter(5) -> Client(288) -> Shelter(7) -> Client(100) -> Client(104) -> Client(111) -> Client(120) -> Shelter(8) -> Client(145) -> Client(185) -> Client(194) -> Shelter(9) -> Client(303) -> Client(309) -> Client(316) -> Client(320) -> Shelter(12) -> Client(63) -> Shelter(13) -> Client(57) -> Client(59) -> Client(86) -> Shelter(14) -> Client(199) -> Shelter(17) -> Client(258) -> Client(262) -> Client(264) -> Shelter(18) -> Client(241) -> Shelter(19) -> Client(278) -> Client(292) -> Client(295) -> Shelter(21) -> Client(75) -> Shelter(22) -> Depot(0)
1,Depot(0) -> Client(23) -> Shelter(1) -> Client(112) -> Client(132) -> Client(134) -> Client(135) -> Shelter(2) -> Client(143) -> Client(168) -> Shelter(3) -> Client(217) -> Shelter(5) -> Client(99) -> Shelter(6) -> Client(266) -> Client(283) -> Shelter(7) -> Client(101) -> Shelter(8) -> Client(213) -> Client(216) -> Client(231) -> Shelter(10) -> Client(314) -> Client(321) -> Shelter(12) -> Client(65) -> Client(70) -> Client(79) -> Shelter(13) -> Client(74) -> Shelter(14) -> Client(204) -> Client(206) -> Shelter(17) -> Client(259) -> Shelter(18) -> Client(233) -> Client(234) -> Shelter(19) -> Client(35) -> Shelter(20) -> Client(282) -> Client(286) -> Shelter(21) -> Client(103) -> Shelter(22) -> Depot(0)
2,Depot(0) -> Client(27) -> Client(58) -> Client(176) -> Shelter(1) -> Client(142) -> Client(160) -> Client(162) -> Client(165) -> Client(182) -> Shelter(3) -> Client(184) -> Client(192) -> Shelter(4) -> Client(102) -> Client(218) -> Shelter(6) -> Client(285) -> Shelter(7) -> Client(91) -> Shelter(8) -> Client(229) -> Shelter(10) -> Client(245) -> Client(250) -> Shelter(11) -> Client(312) -> Client(322) -> Shelter(12) -> Client(69) -> Client(77) -> Client(78) -> Client(108) -> Shelter(13) -> Client(54) -> Shelter(14) -> Client(39) -> Shelter(15) -> Client(180) -> Shelter(16) -> Client(211) -> Shelter(17) -> Client(240) -> Shelter(19) -> Client(51) -> Shelter(20) -> Client(275) -> Client(276) -> Client(280) -> Client(301) -> Client(305) -> Shelter(21) -> Depot(0)
3,Depot(0) -> Client(26) -> Client(33) -> Client(64) -> Client(181) -> Shelter(1) -> Client(116) -> Client(129) -> Client(136) -> Shelter(2) -> Client(144) -> Client(157) -> Shelter(3) -> Client(214) -> Shelter(5) -> Client(226) -> Shelter(6) -> Client(265) -> Client(269) -> Shelter(7) -> Client(84) -> Client(89) -> Shelter(8) -> Client(152) -> Shelter(9) -> Client(249) -> Client(254) -> Shelter(11) -> Client(306) -> Client(307) -> Shelter(12) -> Client(61) -> Client(82) -> Shelter(14) -> Client(67) -> Shelter(15) -> Client(164) -> Shelter(16) -> Client(205) -> Client(208) -> Shelter(17) -> Client(261) -> Shelter(18) -> Client(50) -> Shelter(20) -> Client(281) -> Client(284) -> Shelter(21) -> Client(109) -> Client(119) -> Shelter(22) -> Depot(0)
4,Depot(0) -> Client(30) -> Client(32) -> Client(36) -> Client(47) -> Client(56) -> Shelter(1) -> Client(130) -> Shelter(2) -> Client(150) -> Client(151) -> Client(163) -> Shelter(3) -> Client(191) -> Shelter(4) -> Client(209) -> Shelter(5) -> Client(212) -> Shelter(10) -> Client(244) -> Client(246) -> Shelter(11) -> Client(313) -> Client(323) -> Shelter(12) -> Client(60) -> Shelter(13) -> Client(76) -> Shelter(14) -> Client(202) -> Client(207) -> Shelter(17) -> Client(273) -> Shelter(18) -> Client(236) -> Client(238) -> Shelter(19) -> Client(24) -> Client(52) -> Shelter(20) -> Client(296) -> Shelter(21) -> Client(90) -> Client(94) -> Shelter(22) -> Depot(0)
5,Depot(0) -> Client(31) -> Client(40) -> Shelter(1) -> Client(118) -> Client(131) -> Shelter(2) -> Client(147) -> Client(149) -> Client(155) -> Client(158) -> Client(161) -> Shelter(3) -> Client(187) -> Client(188) -> Client(193) -> Shelter(4) -> Client(221) -> Client(224) -> Shelter(6) -> Client(95) -> Client(107) -> Client(113) -> Client(114) -> Shelter(8) -> Client(248) -> Client(252) -> Client(253) -> Shelter(11) -> Client(299) -> Client(302) -> Client(310) -> Client(318) -> Shelter(12) -> Client(68) -> Shelter(13) -> Client(170) -> Client(173) -> Shelter(16) -> Client(239) -> Shelter(19) -> Client(25) -> Shelter(20) -> Depot(0)
6,Depot(0) -> Client(34) -> Shelter(1) -> Client(123) -> Client(127) -> Client(128) -> Client(133) -> Shelter(2) -> Client(148) -> Shelter(3) -> Client(190) -> Client(195) -> Shelter(4) -> Client(215) -> Shelter(5) -> Client(267) -> Client(271) -> Shelter(7) -> Client(154) -> Client(196) -> Shelter(9) -> Client(317) -> Shelter(12) -> Client(41) -> Client(48) -> Shelter(15) -> Client(203) -> Client(225) -> Shelter(17) -> Client(260) -> Client(274) -> Shelter(18) -> Client(43) -> Shelter(20) -> Client(97) -> Shelter(22) -> Depot(0)
7,Depot(0) -> Client(55) -> Shelter(1) -> Client(153) -> Client(156) -> Shelter(3) -> Client(183) -> Shelter(4) -> Client(117) -> Client(219) -> Client(222) -> Client(223) -> Shelter(6) -> Client(263) -> Shelter(7) -> Client(96) -> Client(115) -> Shelter(8) -> Client(297) -> Client(298) -> Client(311) -> Client(315) -> Shelter(12) -> Client(92) -> Shelter(14) -> Client(169) -> Client(171) -> Client(179) -> Shelter(16) -> Client(210) -> Shelter(17) -> Client(270) -> Shelter(18) -> Client(237) -> Shelter(19) -> Client(290) -> Client(291) -> Shelter(21) -> Client(106) -> Shelter(22) -> Depot(0)
8,Depot(0) -> Client(66) -> Client(174) -> Client(177) -> Shelter(1) -> Client(124) -> Client(126) -> Client(137) -> Client(138) -> Shelter(2) -> Client(178) -> Shelter(3) -> Client(189) -> Shelter(4) -> Client(228) -> Shelter(6) -> Client(85) -> Client(88) -> Client(93) -> Client(98) -> Client(105) -> Shelter(8) -> Client(230) -> Shelter(10) -> Client(304) -> Client(308) -> Client(319) -> Shelter(12) -> Client(172) -> Shelter(16) -> Client(200) -> Shelter(17) -> Client(257) -> Shelter(18) -> Client(235) -> Client(243) -> Client(251) -> Shelter(19) -> Client(175) -> Shelter(20) -> Client(279) -> Client(287) -> Shelter(21) -> Client(87) -> Shelter(22) -> Depot(0)
9,Depot(0) -> Client(28) -> Client(42) -> Shelter(1) -> Client(122) -> Client(125) -> Shelter(2) -> Client(146) -> Client(166) -> Shelter(3) -> Client(186) -> Client(198) -> Shelter(4) -> Client(220) -> Shelter(6) -> Client(277) -> Shelter(7) -> Client(110) -> Shelter(8) -> Client(197) -> Shelter(9) -> Client(227) -> Shelter(10) -> Client(247) -> Client(256) -> Shelter(11) -> Client(300) -> Shelter(12) -> Client(73) -> Client(81) -> Shelter(13) -> Client(83) -> Shelter(14) -> Client(38) -> Shelter(15) -> Client(255) -> Client(272) -> Shelter(18) -> Client(232) -> Client(242) -> Shelter(19) -> Client(37) -> Client(44) -> Client(49) -> Shelter(20) -> Client(289) -> Client(293) -> Client(294) -> Shelter(21) -> Client(62) -> Client(80) -> Client(121) -> Shelter(22) -> Depot(0)
